Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
1,Innovate Industries,Email,Men 18-24,30 days,Google Ads,0.04,16174.0,6.29,Chicago,Spanish,506,1922,6,Health & Wellness,2021-01-01
2,NexGen Systems,Email,Women 35-44,60 days,Google Ads,0.12,11566.0,5.61,New York,German,116,7523,7,Fashionistas,2021-01-02
3,Alpha Innovations,Influencer,Men 25-34,30 days,YouTube,0.07,10200.0,7.18,Los Angeles,French,584,7698,1,Outdoor Adventurers,2021-01-03
4,DataTech Solutions,Display,All Ages,60 days,YouTube,0.11,12724.0,5.55,Miami,Mandarin,217,1820,7,Health & Wellness,2021-01-04
5,NexGen Systems,Email,Men 25-34,15 days,YouTube,0.05,16452.0,6.5,Los Angeles,Mandarin,379,4201,3,Health & Wellness,2021-01-05
6,DataTech Solutions,Display,All Ages,15 days,Instagram,0.07,9716.0,4.36,New York,German,100,1643,1,Foodies,2021-01-06
7,NexGen Systems,Email,Women 35-44,60 days,Website,0.13,11067.0,2.86,Los Angeles,Spanish,817,8749,10,Tech Enthusiasts,2021-01-07
8,DataTech Solutions,Search,Men 18-24,45 days,Google Ads,0.08,13280.0,5.55,Los Angeles,Mandarin,624,7854,7,Outdoor Adventurers,2021-01-08
9,Alpha Innovations,Social Media,Women 35-44,15 days,Facebook,0.09,18066.0,6.73,Chicago,German,861,1754,6,Tech Enthusiasts,2021-01-09
10,TechCorp,Email,Women 35-44,15 days,Instagram,0.09,13766.0,3.78,Los Angeles,English,642,3856,3,Tech Enthusiasts,2021-01-10
11,NexGen Systems,Display,Men 25-34,45 days,Email,0.12,8590.0,3.49,New York,Spanish,321,6628,10,Tech Enthusiasts,2021-01-11
12,Innovate Industries,Influencer,Men 25-34,60 days,Google Ads,0.05,17502.0,3.59,Los Angeles,Mandarin,659,8948,1,Foodies,2021-01-12
13,TechCorp,Social Media,Men 25-34,60 days,Facebook,0.09,17189.0,4.91,Chicago,Mandarin,677,8817,10,Tech Enthusiasts,2021-01-13
14,TechCorp,Email,Men 25-34,45 days,Instagram,0.14,9975.0,7.06,New York,German,994,2201,4,Health & Wellness,2021-01-14
15,TechCorp,Display,All Ages,45 days,Website,0.04,11346.0,5.28,Chicago,Spanish,482,8470,1,Outdoor Adventurers,2021-01-15
16,Innovate Industries,Social Media,Women 35-44,60 days,YouTube,0.11,9407.0,2.91,New York,German,299,1512,5,Health & Wellness,2021-01-16
17,Innovate Industries,Display,Women 35-44,45 days,Website,0.08,5478.0,4.53,Houston,English,931,2488,3,Fashionistas,2021-01-17
18,Alpha Innovations,Influencer,Men 18-24,15 days,Instagram,0.14,9485.0,4.48,Miami,French,218,9264,9,Health & Wellness,2021-01-18
19,Alpha Innovations,Social Media,Men 25-34,60 days,Google Ads,0.07,19224.0,6.08,New York,French,182,5798,1,Foodies,2021-01-19
20,DataTech Solutions,Influencer,Men 25-34,15 days,Google Ads,0.09,10258.0,3.83,Miami,French,193,3677,1,Tech Enthusiasts,2021-01-20
21,DataTech Solutions,Search,Women 25-34,15 days,Email,0.04,16580.0,7.99,New York,Spanish,975,1561,3,Outdoor Adventurers,2021-01-21
22,TechCorp,Influencer,All Ages,30 days,Facebook,0.02,12824.0,6.21,New York,French,319,8586,2,Foodies,2021-01-22
23,NexGen Systems,Social Media,Women 35-44,15 days,YouTube,0.13,8699.0,2.12,Miami,French,646,3841,5,Health & Wellness,2021-01-23
24,Innovate Industries,Email,Women 25-34,15 days,Facebook,0.04,17608.0,7.31,Miami,Spanish,764,2157,8,Health & Wellness,2021-01-24
25,NexGen Systems,Social Media,Men 18-24,60 days,YouTube,0.07,8773.0,6.03,Miami,Mandarin,527,1733,1,Fashionistas,2021-01-25
26,NexGen Systems,Search,Women 25-34,45 days,Instagram,0.04,14756.0,6.23,Houston,English,809,8236,10,Health & Wellness,2021-01-26
27,Alpha Innovations,Email,Women 25-34,45 days,Facebook,0.09,9182.0,6.03,Houston,English,953,6916,5,Fashionistas,2021-01-27
28,TechCorp,Email,Men 25-34,30 days,YouTube,0.07,6601.0,3.29,New York,Spanish,604,2420,3,Foodies,2021-01-28
29,TechCorp,Influencer,Men 18-24,60 days,Email,0.09,11552.0,7.12,Chicago,Spanish,384,7620,7,Tech Enthusiasts,2021-01-29
30,TechCorp,Social Media,Women 25-34,30 days,Email,0.09,11608.0,3.61,Los Angeles,Spanish,952,4055,1,Tech Enthusiasts,2021-01-30
31,Innovate Industries,Search,Men 25-34,45 days,Instagram,0.07,13124.0,2.77,Houston,Mandarin,512,4837,4,Tech Enthusiasts,2021-01-31
